KEY, COLUMN, SOURCE_TABLE, SOURCE_VALUE, TARGET_TABLE, TARGET_VALUE, COMMENTS
1,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
2,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
3,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
4,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
5,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
6,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
7,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
8,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
9,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
10,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
11,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
12,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
13,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
14,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
15,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
16,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
17,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
18,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
19,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
20,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
21,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
22,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
23,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
24,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
25,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
26,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
27,Order_Date,./input/generated_data1_source.csv,03-01-2024,./input/generated_data1_target.csv,03-01-2023,Mismatch
