KEY, COLUMN, SOURCE_TABLE, SOURCE_VALUE, TARGET_TABLE, TARGET_VALUE, COMMENTS
4425_CA-2020-159464,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
9175_CA-2020-119424,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
2995_CA-2019-112893,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
5287_CA-2020-105991,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
6962_CA-2020-162096,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
8614_CA-2019-138233,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
5564_CA-2020-133263,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
23_CA-2019-137330,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
3707_CA-2020-160087,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
7238_CA-2019-164924,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
2964_CA-2020-137428,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
7513_US-2020-161935,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
6492_CA-2019-113845,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
3986_CA-2019-108735,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
8295_US-2020-146906,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
3638_CA-2019-145177,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
9639_US-2020-125808,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
8322_US-2019-149790,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
6045_CA-2020-145702,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
2875_US-2020-102638,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
9645_US-2020-107979,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
8153_CA-2020-140151,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4747_CA-2020-168123,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
2918_CA-2020-155047,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
5542_US-2020-150595,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4461_US-2020-125717,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
9549_CA-2019-131744,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
1810_CA-2019-165484,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
8450_CA-2020-125451,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4742_CA-2020-164364,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4262_CA-2020-158344,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4364_CA-2020-111332,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
8448_CA-2020-125451,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4263_CA-2020-123351,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
680_US-2020-119438,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
2098_US-2019-146570,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
7454_CA-2020-134796,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
60_CA-2019-111682,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
9115_CA-2019-135461,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
4911_CA-2020-127306,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
7034_CA-2019-145548,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
7987_CA-2019-137939,,./input/Archive/source.csv,,./input/Archive/target.csv,,Missing in Target
